heater,best_ch,phi_span,n_points,reads,json
0,5,5.446771040038811,250,3,calibration\heater_00.json
1,5,11.281293847694997,250,3,calibration\heater_01.json
2,4,5.795135238481123,250,3,calibration\heater_02.json
3,4,8.626252352672793,250,3,calibration\heater_03.json
4,5,5.188674702343349,250,3,calibration\heater_04.json
5,4,0.09085515105289232,250,3,calibration\heater_05.json
6,2,32.12490104610242,250,3,calibration\heater_06.json
7,6,11.0290291233149,250,3,calibration\heater_07.json
8,5,80.21208816956175,250,3,calibration\heater_08.json
9,7,11.120966703697384,250,3,calibration\heater_09.json
10,4,4.335836791155771,250,3,calibration\heater_10.json
11,6,5.082577776472817,250,3,calibration\heater_11.json
12,6,10.95391489951712,250,3,calibration\heater_12.json
13,1,10.869069356172986,250,3,calibration\heater_13.json
14,5,9.477224864465825,250,3,calibration\heater_14.json
15,4,7.379505668883212,250,3,calibration\heater_15.json
16,5,2.1972850300787172,250,3,calibration\heater_16.json
17,1,3.070977045892505,250,3,calibration\heater_17.json
18,5,19.1413685740481,250,3,calibration\heater_18.json
19,4,4.545494434288798,250,3,calibration\heater_19.json
20,7,8.443541145118502,250,3,calibration\heater_20.json
21,7,11.032844501445595,250,3,calibration\heater_21.json
22,7,4.9887901755709265,250,3,calibration\heater_22.json
23,5,13.399563764658524,250,3,calibration\heater_23.json
24,6,83.25749631147858,250,3,calibration\heater_24.json
25,5,7.974458266269153,250,3,calibration\heater_25.json
26,2,17.61592525559481,250,3,calibration\heater_26.json
27,4,0.08301474766290085,250,3,calibration\heater_27.json
